,Apache_CAMEL,Apache_HBASE,Apache_HIVE,Commons_CODEC,Commons_COLLECTIONS,Commons_COMPRESS,Commons_CONFIGURATION,Commons_CRYPTO,Commons_CSV,Commons_IO,Commons_LANG,Commons_MATH,Commons_WEAVER,JBoss_ENTESB,JBoss_JBMETA,Spring_AMQP,Spring_ANDROID,Spring_BATCHADM,Spring_BATCH,Spring_DATACMNS,Spring_DATAGRAPH,Spring_DATAJPA,Spring_DATAMONGO,Spring_DATAREDIS,Spring_DATAREST,Spring_LDAP,Spring_MOBILE,Spring_ROO,Spring_SECOAUTH,Spring_SEC,Spring_SGF,Spring_SHDP,Spring_SHL,Spring_SOCIALFB,Spring_SOCIALLI,Spring_SOCIALTW,Spring_SOCIAL,Spring_SPR,Spring_SWF,Spring_SWS,Wildfly_ELY,Wildfly_SWARM,Wildfly_WFARQ,Wildfly_WFCORE,Wildfly_WFLY,Wildfly_WFMP,Previous_AspectJ,Previous_PDE,Previous_SWT,Previous_ZXing
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.827239969290792e-08,0.0,0.0,0.0
1,2.0031373208713874e-07,1.0950114018276616e-06,3.6941811216770576e-07,0.0,0.0,0.0,1.438486711982101e-05,0.0,0.0,0.0,1.256168133855374e-05,2.4106303810310648e-06,0.0,0.0,0.0,3.603929401416123e-05,0.0,0.0,9.01434858935346e-07,0.0,0.0,1.540608033450731e-05,0.0,0.0,1.113616748797952e-05,0.0,0.0,0.0,0.0,1.4096216378035751e-06,1.4072614691817974e-05,0.0,0.0,0.0,0.0007407407407407084,0.0,0.0,9.280725573592267e-07,0.0,0.0,0.0,0.0,0.0,3.535749074856653e-07,0.0,0.0,9.972694200082298e-07,0.0,1.3990928235824946e-06,5.1150895140628094e-05
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2.7677319505942736e-07,9.678624846287987e-07,2.9833203878660226e-07,0.0001297016861219191,2.5153156414569595e-05,7.077090815595437e-05,6.973323058820415e-05,0.0,0.0,3.684828496099294e-05,2.9190709574749876e-05,4.40118879165996e-06,0.0,0.0,0.0,5.1938150534352856e-05,0.0,0.0,3.3120831611239965e-06,1.295565307656949e-05,1.0420567973798715e-05,3.081216066898742e-05,1.9529814845135884e-05,6.30508296886635e-05,1.3638964017806283e-05,2.6561485533320697e-05,0.0006600660066006459,1.7330571995266553e-06,0.0,2.663934497405562e-06,3.447072534174799e-05,0.0,0.0,0.0,0.0,0.0004504504504504236,0.0003164192293254812,9.280725573048372e-07,1.1467103355537794e-05,1.0845131471691708e-05,0.0,0.0,0.0,1.0308391384361504e-06,1.1007786220318394e-07,0.0,5.769548437202487e-07,1.2857312757574845e-06,2.5543823317324273e-06,0.0
4,6.896888033781163e-07,1.856682165605826e-06,1.5842526793061749e-06,0.00025940337224383825,3.673853642854607e-05,6.92153136193591e-05,0.00010668102977084172,0.0006097560975609539,0.002484519974999807,3.008649868370128e-05,3.851338569488368e-05,3.682298731211698e-06,0.0,0.00010569653634955162,1.9445794846895124e-05,8.771017172132768e-05,0.00024783147459728205,0.00021873983639026612,6.310044012547422e-06,7.695888496007473e-05,1.921457794092071e-05,0.00010636519717781896,1.631777923279345e-05,6.305082968862297e-05,7.593853780443375e-05,2.6561485533320697e-05,0.0024252373690922574,5.74790047113937e-06,0.0,6.739280439401995e-06,3.587826846042618e-05,2.2544737212903953e-05,0.0004836759371221521,0.0001677158331244827,0.0,0.0004504504504504236,0.00043120672419387783,5.139433100911072e-06,8.995535965272693e-06,1.4750973587544434e-05,0.00031935981001086466,7.661970618913503e-05,0.0,1.414299629981519e-06,3.415075863974662e-07,0.0,1.5224602144995992e-06,2.4053829626246623e-06,6.151767287701733e-06,5.1150895140672506e-05
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,8.161401932008435e-07,4.9237477172102075e-06,8.508131270138934e-07,0.00025940337224383825,2.7553902321416267e-05,3.9042702423664207e-05,0.00012374330588763014,0.0,0.0,4.7570931330076956e-05,9.648810519976278e-05,2.1784773079150185e-05,0.0,0.0,4.3482119154073315e-05,7.207858802827673e-05,0.0004636502338009994,0.0,3.1870535077556105e-06,1.2955653076533882e-05,1.2329782303647114e-05,4.706635286359201e-05,1.9894889707795088e-05,6.906872337978746e-05,4.98024550238285e-05,7.789356596108507e-05,0.0019244065659555032,3.4661143991032707e-06,0.0,6.1443982678576435e-06,2.63274513563965e-05,1.3805775639187612e-05,0.0,0.0001677158331245371,0.0,0.0,0.00016913319238902604,2.2733042097581684e-06,1.4917408792478504e-05,1.8468593402029378e-05,0.0,1.4610804690073922e-05,0.0,2.3980616964075282e-06,3.137701832801125e-07,0.0,5.662364829007886e-07,1.2857312757130756e-06,2.284709013750108e-06,6.264679649057321e-05
7,9.356641736100726e-08,1.2693397485647582e-06,3.444841658436291e-07,0.00012970168612191912,9.184634107128887e-06,0.0,2.876973423959206e-05,0.0,0.0,4.7570931330076956e-05,2.9726363603503005e-05,0.0,0.0,0.0,0.0,1.4135774110357602e-05,0.0,0.0,4.369867608433807e-06,1.69629316859848e-05,1.0420567973798715e-05,3.773703575586928e-05,7.097562264467652e-06,2.302290779323535e-05,3.7764581325329027e-05,1.679895846455892e-05,0.0,4.017927824870876e-06,0.0,6.258828922059876e-06,2.632745135643211e-05,0.0,0.0,0.0001369394043136296,0.0,0.0,0.0003164192293254812,2.209254581583327e-06,8.414553398113309e-06,1.4750973587547014e-05,0.0,3.578901622214442e-05,0.0,2.6576981881766074e-06,1.3481729718709957e-07,0.0,3.726511604018744e-07,1.5746927859173546e-06,2.912443960983585e-06,5.11508951406725e-05
8,9.344938614755107e-07,4.205471086435642e-06,1.018997904568264e-06,0.0005578680458523498,3.11466096444338e-05,6.921531361934571e-05,6.433108145433106e-05,0.0007467956532875278,0.0013608276348795387,0.00011257337004211546,2.694180496990316e-05,1.0036254602992814e-05,0.0,0.00010569653634955162,3.8891589693751394e-05,7.412862481323982e-05,0.00039185596780278613,0.0,9.812813020795757e-06,3.531115814196168e-05,3.194885642438171e-05,5.832647879172301e-05,2.2121503845384086e-05,4.307191650483467e-05,7.17397406761167e-05,7.225505242992259e-05,0.0006600660066006459,8.059181840052554e-06,1.890298770726388e-05,1.0385928677687925e-05,6.0528604468354386e-05,2.873901374435467e-05,0.0005923796234058766,0.0001369394043135852,0.0,0.0,0.0003164192293254812,5.695875990632947e-06,2.717336865637835e-05,1.1630107829830582e-05,0.0005830685730116662,2.9221609380147837e-05,0.0,1.581235056552294e-06,3.692123740562611e-07,0.001666666666666661,1.6293699320266957e-07,1.2857312757574847e-06,6.098504230716419e-06,9.569456232159828e-05
9,4.3384962928935616e-07,2.1814512528978807e-06,2.3452769416262914e-06,0.00024264963597755697,1.1248833518314372e-05,0.0,2.6911622158236853e-05,0.0011407492032847453,0.0,3.684828496104733e-05,3.177881941685001e-05,9.541549929923142e-06,0.002187044413199258,8.932987740589087e-05,0.0,2.2350621339150084e-05,0.0,0.00019564685742237133,6.593427565565016e-06,2.2967918078667684e-05,1.4736908556176866e-05,2.3533176431816778e-05,7.5876132214158775e-06,2.8197188244286442e-05,3.340850246388675e-05,3.3597916929162254e-05,0.0,6.127282489957234e-06,1.2374910289908068e-05,7.401712159350362e-06,2.632745135643211e-05,0.0,0.0,0.00030620581684350444,0.0,0.0,0.0003382663847780021,2.7842176720414204e-06,8.414553398113309e-06,1.3282519149478937e-05,0.0,2.7334312647663217e-05,0.0,2.046462731053738e-06,1.6046467979854383e-07,0.0,0.0,4.065839290219913e-06,5.29687994170474e-06,0.00013040970622996582
10,0.0,2.737528504770381e-07,0.0,0.0001297016861219191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.968271463992366e-06,0.0,5.649717514124575e-05,0.0,0.0,0.00024783147459728205,0.0,9.014348589353461e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7270804342647506e-06,0.0,7.534744590920184e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.577680698922506e-07,5.50861826944316e-06,0.0,0.00026075619295959915,1.789450811107221e-05,0.0,0.0,0.0,0.0,2.596001813505642e-07,0.0,0.0,0.0
11,6.980999532878325e-07,2.3147903909222375e-06,1.1502882885412974e-06,0.00047655442466598626,2.5153156414569595e-05,5.111889691206281e-05,0.00010323084183413087,0.0006097560975609539,0.0013608276348795385,0.00012034599473484952,9.179486778651145e-05,8.465855673596719e-06,0.0,0.0,2.3816137508867794e-05,6.85257074236441e-05,0.0,0.0001956468574223713,6.277767360920098e-06,4.324715983723648e-05,3.194885642440919e-05,0.00010334712868426879,4.584073969209542e-05,7.807447891245972e-05,7.593853780440118e-05,3.3597916929156704e-05,0.0008084124563640678,6.5133906303764344e-06,1.2374910289908068e-05,4.022452880364054e-06,9.010870021716391e-05,1.1272368606451976e-05,0.0,0.0002561901668451747,0.0,0.0004504504504504681,0.0003164192293254812,2.2092545815795193e-06,1.8815513398483206e-05,1.7654594956843903e-05,0.00031935981001086466,1.789450811107221e-05,0.0,1.5207831802564925e-06,4.3858810971932143e-07,0.0,7.030006143185749e-07,2.5714625514761114e-06,3.1284666604031186e-06,0.00018794038947183143
