,smartshark_ant-ivy,smartshark_archiva,smartshark_calcite,smartshark_cayenne,smartshark_commons-bcel,smartshark_commons-beanutils,smartshark_commons-codec,smartshark_commons-collections,smartshark_commons-compress,smartshark_commons-configuration,smartshark_commons-dbcp,smartshark_commons-digester,smartshark_commons-io,smartshark_commons-jcs,smartshark_commons-jexl,smartshark_commons-lang,smartshark_commons-math,smartshark_commons-net,smartshark_commons-scxml,smartshark_commons-validator,smartshark_commons-vfs,smartshark_deltaspike,smartshark_eagle,smartshark_giraph,smartshark_gora,smartshark_jspwiki,smartshark_knox,smartshark_kylin,smartshark_lens,smartshark_mahout,smartshark_manifoldcf,smartshark_nutch,smartshark_opennlp,smartshark_parquet-mr,smartshark_santuario-java,smartshark_systemml,smartshark_tika,smartshark_wss4j
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,4.298551603110212e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.38032147421319e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6209688530555156e-06,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,4.430840521331997e-06,2.4068878282087916e-06,2.254179477776062e-06,1.4464964898378578e-06,2.826455624647117e-05,8.66082061275364e-05,9.398952772086615e-05,5.259686319977585e-05,3.460598943699505e-05,3.690725376575319e-05,0.00021963111459671924,0.00023350846468184194,3.661146017168132e-05,1.2523089446148105e-05,0.00021164535040083633,1.824555782670443e-05,2.891969562472578e-06,1.0223642172535463e-05,0.0,0.00018647330727492915,1.9296826195801667e-05,3.6659267077706445e-06,1.6714023065578232e-06,3.0090902580902024e-06,2.846773984686426e-05,4.520602383474331e-06,2.908309530444297e-06,9.524263060001203e-07,3.498118384808542e-06,1.4372526780170834e-06,1.6980326462296312e-06,4.7258957026922205e-06,5.3742301949317195e-06,1.5513640511515705e-05,2.1616218699025714e-05,2.8185724077287545e-06,4.237063714869945e-06,1.5053248857157908e-05
4,1.3656767677302606e-05,3.1072788249824377e-06,5.807023440464915e-06,1.2715413984603387e-06,5.28781428317482e-05,8.101455855308418e-05,0.000145607950232326,9.602829476208587e-06,8.952394691553908e-05,5.07774222774842e-05,0.0003654348292281585,0.0002859882945456099,2.9893132052905e-05,5.386384438208188e-05,0.00012545256522555166,3.067255162012601e-05,7.038294003109974e-06,4.572151775079621e-05,0.00014015416958654825,5.274261603376296e-05,1.614488311695539e-05,1.0422670830111852e-05,6.685609226150802e-06,1.942359409461296e-05,0.000109199985501629,1.1713757221716868e-05,9.011067501551407e-06,8.053495178474829e-06,7.822030501800207e-06,7.428564692216103e-06,8.846547549796754e-06,5.496972826980421e-06,1.665144323503325e-05,1.5513640511515705e-05,2.6178540879359465e-05,4.444493217197071e-06,1.194254154991191e-05,2.0890557551632025e-05
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,1.4220168127464009e-05,7.982743838693877e-06,2.931221389818527e-06,1.9010688334763589e-06,9.374292793544085e-05,8.66082061275364e-05,0.0001515535596252949,2.147257948506002e-05,4.9872538792283703e-05,4.573692294089511e-05,0.00018581746000144195,0.0,0.00015958565506361933,3.651076606771674e-05,0.00020584574401134387,2.4947524367437794e-05,5.839289085818518e-06,6.343603141722872e-05,0.0004752859133234349,0.000178858913057127,4.9948596158848074e-05,7.255077965679553e-06,3.3428046130767887e-06,8.331793647796293e-06,3.4025457108067964e-05,5.403153300153769e-06,8.528837739859224e-06,4.994565684899377e-06,1.8320448329545083e-05,7.247598186963475e-06,5.094097938688893e-06,2.5680976338323507e-05,3.39896161722919e-06,4.835252519720992e-05,9.699236914139591e-05,3.821050613996634e-06,2.0147721861747676e-05,2.206288778236103e-05
7,3.707107148139951e-06,2.4068878282087916e-06,8.041853679103147e-07,1.111930696734972e-06,2.826455624647117e-05,0.0,0.0,7.840677434511888e-06,1.357358580200696e-05,2.7013343731766697e-05,6.373486297004405e-05,0.0,2.9893132052905e-05,0.0,0.0,2.5521105603596047e-05,2.8919695624551594e-06,0.0,0.0,0.0,1.0569306995697174e-05,1.8329633538853224e-06,2.6427190875557443e-06,3.884718818939444e-06,3.04332940236629e-05,1.0393172887254474e-05,2.2527668754326094e-06,4.617057819348091e-06,2.95644963645997e-06,1.4372526779814771e-06,2.4856652749867318e-06,3.970546578998485e-06,5.374230194966827e-06,8.29238965942558e-06,9.667066885486583e-06,1.6051623224727418e-06,3.867892290361421e-06,5.017749619052635e-06
8,1.15542184735119e-05,3.930431364868037e-06,4.966641093848326e-06,1.4464964898077307e-06,4.4690187396394206e-05,0.0002738791954243313,0.00011888839352058866,2.77209809152456e-05,0.00013809080694542677,2.8757900448044262e-05,0.00028503097227530527,0.0002859882945456099,0.00013860875114705764,2.504617889229621e-05,0.00017397140636893086,5.2025232647303356e-05,4.5372951482214326e-06,4.956094422919564e-05,0.00014015416958654825,0.00017492746784577442,6.040862117322624e-05,1.2743160586795016e-05,6.685609226134148e-06,8.33179364780284e-06,0.0001003606798666485,2.5457970382271502e-05,8.429081819991868e-06,8.858076688282415e-06,1.63542713155391e-05,1.258842072735291e-05,1.3839598535995214e-05,9.45179140538825e-06,1.830396848186032e-05,4.228305668754752e-05,4.21377676343656e-05,4.444493217170881e-06,1.1298836572920523e-05,1.532947829842969e-05
9,3.707107148139951e-06,3.930431364818077e-06,1.0959199251743248e-06,2.6707711444078403e-06,2.826455624647117e-05,5.303647813756289e-05,0.00011888839352058866,1.466856432011219e-05,1.357358580200696e-05,1.972775695402995e-05,0.00013706700552967735,0.0,0.0,2.504617889229621e-05,6.026546297905632e-05,2.494752436744737e-05,2.8919695624420952e-06,2.0447284345032067e-05,0.00017165310040527198,0.0,2.9265085901602653e-05,1.0039553760033157e-05,6.141124208881693e-06,7.370735722256327e-06,1.5216647011806473e-05,1.0393172887254475e-05,5.362657802269496e-06,7.222130048139529e-06,6.340878053044096e-06,2.8227082241807224e-06,5.0535068699867004e-06,3.2419377061609913e-06,6.358874921233351e-06,1.5513640511515705e-05,1.4766688583695231e-05,4.3220318243306305e-06,1.0135550796656665e-05,1.6387901631581547e-05
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,1.2134356511225553e-05,5.729539053603229e-06,4.156501582030808e-06,2.223861393483008e-06,5.28781428317482e-05,0.00012625207090712767,0.00024146346870664013,3.6355725637034035e-05,6.293812817193101e-05,9.563385001807939e-05,0.0002330901663213458,0.00023350846468184192,0.00010983438051488079,4.6857110131490965e-05,7.780237815641982e-05,4.420385157078616e-05,2.778514481400666e-06,9.617833979412895e-05,0.000262204441960338,0.0001749274678457376,0.00010156071969053568,7.631234984148871e-06,3.3428046130656862e-06,1.3230875538062673e-05,3.879499002241001e-05,1.3453743219847312e-05,1.163323812168064e-05,8.51875985521906e-06,1.7639874220871687e-05,3.520535692556582e-06,1.0308770439708152e-05,6.972050660975277e-06,1.4619486700758068e-05,2.4176262598631615e-05,4.7358762357661384e-05,2.818572407767473e-06,1.8603449495717646e-05,3.721262713340633e-05
