project,bugs,version,MAP_amalgam,MRR_amalgam,HIT1_amalgam,HIT5_amalgam,HIT10_amalgam,MAP_amalgam_olddata,MRR_amalgam_olddata,HIT1_amalgam_olddata,HIT5_amalgam_olddata,HIT10_amalgam_olddata,MAP_amalgam_olddata_old,MRR_amalgam_olddata_old,HIT1_amalgam_olddata_old,HIT5_amalgam_olddata_old,HIT10_amalgam_olddata_old
Apache_CAMEL,1452.0,62,0.17819777520336044,0.21382102626481098,0.13360881542699724,0.29201101928374656,0.3884297520661157,0.03597272193978072,0.03893442658687883,0.011707988980716254,0.05509641873278237,0.08057851239669421,0.1844779209773833,0.21780109797234978,0.12878787878787878,0.30509641873278237,0.4084022038567493
Apache_HBASE,858.0,70,0.19701958454496965,0.24751661680135228,0.1655011655011655,0.3368298368298368,0.40675990675990675,0.014747980633541949,0.015688267822747588,0.0034965034965034965,0.023310023310023312,0.03263403263403263,0.2027585369159367,0.24556847400881537,0.15034965034965034,0.3508158508158508,0.44522144522144524
Apache_HIVE,1219.0,21,0.15567211490484867,0.21273109458906295,0.1435602953240361,0.280557834290402,0.3420836751435603,0.0187483201002166,0.022726272263724978,0.004922067268252666,0.03855619360131255,0.054142739950779326,0.16935732194279401,0.22117879833315976,0.1443806398687449,0.28794093519278097,0.3634126333059885
Commons_CODEC,41.0,9,0.644421521282882,0.6740418118466899,0.5365853658536586,0.8536585365853658,0.926829268292683,0.0508596736406878,0.04971406785951776,0.0,0.04878048780487805,0.07317073170731707,0.5814266356949284,0.6058265582655826,0.4146341463414634,0.926829268292683,0.975609756097561
Commons_COLLECTIONS,93.0,7,0.3229421321601606,0.3594855377625434,0.24731182795698925,0.4731182795698925,0.5483870967741935,0.03393322875698608,0.03497307084000107,0.0,0.06451612903225806,0.0967741935483871,0.32028146898295146,0.34122248333933297,0.21505376344086022,0.4838709677419355,0.5698924731182796
Commons_COMPRESS,111.0,15,0.33547586027506604,0.37096091642633416,0.21621621621621623,0.5765765765765766,0.7567567567567568,0.011735577528823808,0.009969719383244695,0.0,0.0,0.0,0.3530147382246752,0.3882126381060437,0.2072072072072072,0.6306306306306306,0.8198198198198198
Commons_CONFIGURATION,135.0,11,0.3474578131053104,0.3672658249155979,0.2814814814814815,0.4666666666666667,0.5555555555555556,0.012540098283880276,0.01213668772230521,0.0,0.0,0.007407407407407408,0.3660173004588205,0.38218866362828824,0.26666666666666666,0.5037037037037037,0.6222222222222222
Commons_CRYPTO,8.0,1,0.15703125,0.15703125,0.125,0.125,0.375,0.024596979554285053,0.024596979554285053,0.0,0.0,0.125,0.18323863636363635,0.18323863636363635,0.125,0.25,0.375
Commons_CSV,14.0,3,0.5142625231910946,0.5689935064935064,0.5,0.7142857142857143,0.7142857142857143,0.06572999244984515,0.06304957245576057,0.0,0.07142857142857142,0.14285714285714285,0.6154761904761905,0.6452380952380953,0.5714285714285714,0.8571428571428571,0.8571428571428571
Commons_IO,88.0,13,0.36201655058055743,0.3685689907965817,0.25,0.5340909090909091,0.5909090909090909,0.023538914112115974,0.02240748033160118,0.0,0.011363636363636364,0.045454545454545456,0.3517569311562603,0.3560597741963939,0.20454545454545456,0.5795454545454546,0.6818181818181818
Commons_LANG,209.0,16,0.35741144207914455,0.3677222115263681,0.2535885167464115,0.4880382775119617,0.5885167464114832,0.024406232737209477,0.023803994298985463,0.0,0.023923444976076555,0.04784688995215311,0.3811034088930036,0.3888242972646671,0.23923444976076555,0.583732057416268,0.6842105263157895
Commons_MATH,224.0,15,0.44551461819064414,0.4935044674435122,0.375,0.6383928571428571,0.7142857142857143,0.03710267251520206,0.03797275002325091,0.0,0.05803571428571429,0.11607142857142858,0.4480978969027477,0.47772709252809414,0.34375,0.6428571428571429,0.7366071428571429
Commons_WEAVER,2.0,1,0.015885899814471242,0.011363636363636364,0.0,0.0,0.0,0.011780753968253968,0.007936507936507936,0.0,0.0,0.0,0.09821428571428571,0.07142857142857142,0.0,0.0,0.5
JBoss_ENTESB,39.0,3,0.06920318870636925,0.07282499935473932,0.05128205128205128,0.07692307692307693,0.15384615384615385,0.009997938895060798,0.005438425632188589,0.0,0.0,0.0,0.12489222920141198,0.10781258136394219,0.07692307692307693,0.1282051282051282,0.20512820512820512
JBoss_JBMETA,26.0,5,0.16154745272833657,0.18378732654212965,0.11538461538461539,0.23076923076923078,0.34615384615384615,0.019363036128509273,0.02501615046030737,0.0,0.038461538461538464,0.038461538461538464,0.16974200172294543,0.19030034486227176,0.11538461538461539,0.23076923076923078,0.34615384615384615
Previous_AspectJ,1140.0,4,0.12034279913965669,0.17041095715128934,0.11315789473684211,0.23157894736842105,0.27017543859649124,0.012003950697815706,0.01392025874720418,0.0017543859649122807,0.02368421052631579,0.027192982456140352,0.12437697198651987,0.16683286605433728,0.09912280701754386,0.23421052631578948,0.29473684210526313
Previous_JDT,94.0,1,0.10445702106658232,0.15572357131045403,0.11702127659574468,0.19148936170212766,0.22340425531914893,0.002783551505562407,0.006341589107500927,0.0,0.010638297872340425,0.010638297872340425,0.1148950822223122,0.16282276738379178,0.11702127659574468,0.19148936170212766,0.24468085106382978
Previous_PDE,59.0,1,0.15633644382622738,0.17755568214692052,0.1016949152542373,0.2711864406779661,0.288135593220339,0.003760182751789521,0.003480605652793923,0.0,0.0,0.01694915254237288,0.17299670611914403,0.18836258302291262,0.1016949152542373,0.288135593220339,0.3220338983050847
Previous_SWT,294.0,3,0.34799095575527944,0.3672144078964247,0.272108843537415,0.46598639455782315,0.5272108843537415,0.028430838267321828,0.028225712307723062,0.013605442176870748,0.027210884353741496,0.047619047619047616,0.36559091624756185,0.3826433036056274,0.2755102040816326,0.5068027210884354,0.5850340136054422
Previous_ZXing,20.0,1,0.26605553488702466,0.30215128625522325,0.25,0.35,0.35,0.024364249914390432,0.02400720325297665,0.0,0.05,0.1,0.2545896060185294,0.2885547024752815,0.2,0.35,0.4
Spring_AMQP,101.0,32,0.2809021512487378,0.3261177443502948,0.2079207920792079,0.46534653465346537,0.5841584158415841,0.024505823031104833,0.02380687548665036,0.0,0.019801980198019802,0.039603960396039604,0.3135378754346624,0.3593101481454634,0.22772277227722773,0.5247524752475248,0.6435643564356436
Spring_ANDROID,9.0,2,0.2518508877154036,0.412253098058622,0.3333333333333333,0.4444444444444444,0.5555555555555556,0.030469949488748125,0.026804508770129767,0.0,0.0,0.1111111111111111,0.30284094282335744,0.42476531636932635,0.3333333333333333,0.4444444444444444,0.5555555555555556
Spring_BATCH,412.0,33,0.24546691821274497,0.2900246858667061,0.18689320388349515,0.3907766990291262,0.47815533980582525,0.023603584024839926,0.02507500114093397,0.0024271844660194173,0.03398058252427184,0.06310679611650485,0.2548233499466671,0.2953674042020568,0.1941747572815534,0.4053398058252427,0.5024271844660194
Spring_BATCHADM,19.0,4,0.1857244305738494,0.18705443362393293,0.10526315789473684,0.2631578947368421,0.42105263157894735,0.011739345576628141,0.009963205380097028,0.0,0.0,0.0,0.22238039376569912,0.21539917707534115,0.10526315789473684,0.3157894736842105,0.47368421052631576
Spring_DATACMNS,155.0,33,0.2715311276084279,0.296472202768531,0.2,0.4064516129032258,0.5225806451612903,0.029432858601807717,0.03002623146009742,0.0064516129032258064,0.025806451612903226,0.08387096774193549,0.28270195561660033,0.3041578923914236,0.2,0.4129032258064516,0.567741935483871
Spring_DATAGRAPH,95.0,18,0.09404193358942677,0.1243160082974991,0.09473684210526316,0.15789473684210525,0.17894736842105263,0.0060726211785524856,0.006742313152861906,0.0,0.010526315789473684,0.010526315789473684,0.09990203239488468,0.12852397448912659,0.09473684210526316,0.16842105263157894,0.18947368421052632
Spring_DATAJPA,148.0,38,0.2711909725642787,0.3022790011916348,0.22297297297297297,0.3783783783783784,0.49324324324324326,0.01945196210916875,0.018464574009105162,0.0,0.013513513513513514,0.033783783783783786,0.2991790466456033,0.3261849671754336,0.22297297297297297,0.44594594594594594,0.5743243243243243
Spring_DATAMONGO,261.0,40,0.23779088221326583,0.27428698937221574,0.18773946360153257,0.3563218390804598,0.45977011494252873,0.016930995753137997,0.018448088037276517,0.0,0.02681992337164751,0.0421455938697318,0.2626194192951389,0.2974175447583787,0.18773946360153257,0.4061302681992337,0.5287356321839081
Spring_DATAREDIS,48.0,17,0.4120939813700794,0.44049913716992867,0.2916666666666667,0.5625,0.6666666666666666,0.03391141261032971,0.034268867697047185,0.0,0.0625,0.10416666666666667,0.43228736861883893,0.4574223896574439,0.2916666666666667,0.625,0.6875
Spring_DATAREST,132.0,23,0.26660529525561283,0.2990286961850897,0.2196969696969697,0.36363636363636365,0.4393939393939394,0.02182456941237011,0.018858823631209873,0.0,0.015151515151515152,0.045454545454545456,0.28687389675438585,0.3127641338040978,0.21212121212121213,0.4166666666666667,0.48484848484848486
Spring_LDAP,53.0,5,0.32397547514223285,0.3916576884384959,0.32075471698113206,0.49056603773584906,0.5660377358490566,0.009473500332377056,0.00867769326098812,0.0,0.0,0.0,0.3489056981997553,0.4169937808317266,0.32075471698113206,0.5283018867924528,0.6226415094339622
Spring_MOBILE,11.0,3,0.33694474539544966,0.3339144423651466,0.09090909090909091,0.6363636363636364,0.7272727272727273,0.03196584952601945,0.03084574546473892,0.0,0.0,0.0,0.37180243998425816,0.37180243998425816,0.09090909090909091,0.7272727272727273,0.8181818181818182
Spring_ROO,707.0,15,0.2332342151877372,0.2629821726089028,0.173974540311174,0.3536067892503536,0.44271570014144274,0.013240843743224288,0.012138466067788449,0.0014144271570014145,0.007072135785007072,0.018387553041018388,0.24090101778555734,0.26320091054566996,0.157001414427157,0.37057991513437055,0.48656294200848654
Spring_SEC,541.0,42,0.30106380761766466,0.33664118589149816,0.23475046210720887,0.4436229205175601,0.5378927911275416,0.02099347809693654,0.021152953795419708,0.0,0.025878003696857672,0.04990757855822551,0.3137302753924148,0.3465379345657226,0.2365988909426987,0.46210720887245843,0.5822550831792976
Spring_SECOAUTH,96.0,7,0.1590235668875302,0.2024802712505649,0.13541666666666666,0.2604166666666667,0.3541666666666667,0.011331536801021327,0.010400696902115642,0.0,0.0,0.03125,0.2164318978974832,0.25888623193904475,0.17708333333333334,0.3333333333333333,0.4270833333333333
Spring_SGF,105.0,19,0.26698559119481996,0.3135468120267716,0.18095238095238095,0.4857142857142857,0.5238095238095238,0.020003770353316994,0.01753537761474346,0.0,0.009523809523809525,0.05714285714285714,0.2901797280291728,0.32715489246337337,0.18095238095238095,0.47619047619047616,0.5619047619047619
Spring_SHDP,41.0,8,0.19035734203015087,0.21050635439869342,0.07317073170731707,0.34146341463414637,0.43902439024390244,0.022713651487863022,0.02343850904684473,0.0,0.04878048780487805,0.07317073170731707,0.21520296373764763,0.2420582799486056,0.0975609756097561,0.36585365853658536,0.5365853658536586
Spring_SHL,9.0,2,0.4502923976608187,0.4502923976608187,0.3333333333333333,0.5555555555555556,0.5555555555555556,0.03980209551577884,0.03980209551577884,0.0,0.1111111111111111,0.1111111111111111,0.5,0.5,0.3333333333333333,0.6666666666666666,0.6666666666666666
Spring_SOCIAL,15.0,4,0.3311299435028248,0.3533521657250471,0.26666666666666666,0.4666666666666667,0.6666666666666666,0.08877273541930125,0.11099495764152348,0.06666666666666667,0.2,0.26666666666666666,0.3694632768361582,0.3916854990583804,0.26666666666666666,0.6,0.6666666666666666
Spring_SOCIALFB,15.0,5,0.46123854435620465,0.5629906777525825,0.4,0.7333333333333333,0.7333333333333333,0.15888321399586441,0.17079090297805316,0.06666666666666667,0.26666666666666666,0.26666666666666666,0.4619779341029341,0.5426161616161616,0.3333333333333333,0.7333333333333333,0.8
Spring_SOCIALLI,3.0,1,0.27187049062049057,0.2698412698412698,0.0,0.6666666666666666,1.0,0.05710409910678727,0.041666666666666664,0.0,0.0,0.0,0.5277777777777778,0.5555555555555555,0.3333333333333333,1.0,1.0
Spring_SOCIALTW,8.0,5,0.4686097399332694,0.5283319621554916,0.5,0.5,0.5,0.21407583075500952,0.2737980529772317,0.25,0.25,0.25,0.6248015873015873,0.6845238095238095,0.625,0.75,0.875
Spring_SPR,126.0,10,0.19107028271717125,0.2473046618533327,0.1746031746031746,0.31746031746031744,0.3888888888888889,0.01580172621187221,0.0164538096622884,0.0,0.015873015873015872,0.05555555555555555,0.22475756946518355,0.28080287719731306,0.21428571428571427,0.3253968253968254,0.42857142857142855
Spring_SWF,134.0,20,0.2686158492264933,0.33820088276162663,0.26865671641791045,0.40298507462686567,0.48507462686567165,0.017942535803292598,0.018755074689108406,0.0,0.03731343283582089,0.05223880597014925,0.28308651239242877,0.3439798124430925,0.2537313432835821,0.4253731343283582,0.5447761194029851
Spring_SWS,172.0,25,0.21932844122277304,0.26625626072836156,0.20348837209302326,0.31976744186046513,0.38372093023255816,0.011883534503352205,0.012265029745756993,0.0,0.011627906976744186,0.040697674418604654,0.22084847457701007,0.26268540646684985,0.18604651162790697,0.32558139534883723,0.4186046511627907
Wildfly_ELY,23.0,3,0.20706521739130435,0.22010869565217386,0.17391304347826086,0.2608695652173913,0.30434782608695654,0.018909015282767446,0.018546696442187736,0.0,0.0,0.0,0.2608695652173913,0.2717391304347826,0.21739130434782608,0.34782608695652173,0.34782608695652173
Wildfly_SWARM,56.0,6,0.21949327695684165,0.22956795509062516,0.14285714285714285,0.2857142857142857,0.35714285714285715,0.013946561165717533,0.013581666016740043,0.0,0.017857142857142856,0.03571428571428571,0.22569687251830492,0.23434421989514376,0.14285714285714285,0.2857142857142857,0.375
Wildfly_WFARQ,1.0,1,0.013333333333333334,0.013333333333333334,0.0,0.0,0.0,0.009708737864077669,0.009708737864077669,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0,1.0
Wildfly_WFCORE,339.0,16,0.1634916731380151,0.22250377316816675,0.15339233038348082,0.2831858407079646,0.3805309734513274,0.011201569246103021,0.011543935297245119,0.0,0.014749262536873156,0.032448377581120944,0.17482074800307273,0.23201614480587926,0.15339233038348082,0.2920353982300885,0.41002949852507375
Wildfly_WFLY,910.0,11,0.13648225062439884,0.1761052726977012,0.11538461538461539,0.23406593406593407,0.2967032967032967,0.025498937292588685,0.027899148607410204,0.013186813186813187,0.035164835164835165,0.05714285714285714,0.136730500472125,0.17064895214177186,0.1021978021978022,0.23076923076923078,0.3142857142857143
Wildfly_WFMP,3.0,1,0.27383633633633636,0.4375,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.01406043105457383,0.01361286072209301,0.0,0.0,0.0,0.2815614617940199,0.44047619047619047,0.3333333333333333,0.6666666666666666,0.6666666666666666
